# SPDX-License-Identifier: AGPL-3.0-only
# Existing hardcoded English UI copy debt. The guard permits these counts to shrink,
# but CI fails when a file adds untranslated copy or increases an existing count.
# Format: relative file path, copy, count. Prefer localizing strings over editing this file.
src/components/memory/MemoryCard.tsx	From	1
src/components/memory/MemoryCard.tsx	More actions	2
src/components/memory/MemoryCard.tsx	not yet confirmed	1
src/components/memory/MemoryCard.tsx	Pin memory	2
src/components/memory/MemoryCard.tsx	pinned	1
src/components/memory/MemoryCard.tsx	Pinned	1
src/components/memory/MemoryCard.tsx	Proposed update	1
src/components/memory/MemoryCard.tsx	Refined from earlier memories	1
src/components/memory/MemoryCard.tsx	Unconfirm	1
src/components/memory/MemoryCard.tsx	Unpin memory	2
src/components/memory/MemoryCard.tsx	used	1
src/components/memory/MemoryDetail.tsx	&#x25BE;	1
src/components/memory/MemoryDetail.tsx	Accept	1
src/components/memory/MemoryDetail.tsx	Agent	1
src/components/memory/MemoryDetail.tsx	Assign space	1
src/components/memory/MemoryDetail.tsx	Cancel	1
src/components/memory/MemoryDetail.tsx	Cmd+Enter to save	1
src/components/memory/MemoryDetail.tsx	confirmed	1
src/components/memory/MemoryDetail.tsx	Confirmed	1
src/components/memory/MemoryDetail.tsx	Content	1
src/components/memory/MemoryDetail.tsx	Copied!	1
src/components/memory/MemoryDetail.tsx	Copy as context	1
src/components/memory/MemoryDetail.tsx	Copy structured recap for LLM context	2
src/components/memory/MemoryDetail.tsx	current	1
src/components/memory/MemoryDetail.tsx	Delete memory	2
src/components/memory/MemoryDetail.tsx	depth	1
src/components/memory/MemoryDetail.tsx	Details	1
src/components/memory/MemoryDetail.tsx	Dismiss	1
src/components/memory/MemoryDetail.tsx	Done	1
src/components/memory/MemoryDetail.tsx	Edit	1
src/components/memory/MemoryDetail.tsx	Edit tags	2
src/components/memory/MemoryDetail.tsx	Enrichment	1
src/components/memory/MemoryDetail.tsx	Entity	1
src/components/memory/MemoryDetail.tsx	Linked	1
src/components/memory/MemoryDetail.tsx	Low quality	1
src/components/memory/MemoryDetail.tsx	Metadata	1
src/components/memory/MemoryDetail.tsx	Pinned	1
src/components/memory/MemoryDetail.tsx	Proposed update	1
src/components/memory/MemoryDetail.tsx	Quality	1
src/components/memory/MemoryDetail.tsx	Related Entities	1
src/components/memory/MemoryDetail.tsx	Related Memories	1
src/components/memory/MemoryDetail.tsx	Remove from space	1
src/components/memory/MemoryDetail.tsx	Revision History	1
src/components/memory/MemoryDetail.tsx	Save	1
src/components/memory/MemoryDetail.tsx	Source Memories	1
src/components/memory/MemoryDetail.tsx	Space	1
src/components/memory/MemoryDetail.tsx	Tags	1
src/components/memory/MemoryDetail.tsx	Type	1
src/components/memory/MemoryDetail.tsx	Unpin	1
src/components/memory/MemoryDetail.tsx	Version History	1
src/components/memory/MemorySearchResult.tsx	&middot;	2
src/components/memory/MemorySearchResult.tsx	keyword	1
src/components/memory/MemorySearchResult.tsx	semantic	1
src/components/memory/MemoryStream.tsx	Curated	1
src/components/memory/MemoryStream.tsx	Go back Home to clear.	1
src/components/memory/MemoryStream.tsx	grid	1
src/components/memory/MemoryStream.tsx	Memory deleted	1
src/components/memory/MemoryStream.tsx	No memories match your filters.	1
src/components/memory/MemoryStream.tsx	Nothing here yet — agents will fill this in	1
src/components/memory/MemoryStream.tsx	Oldest	1
src/components/memory/MemoryStream.tsx	Recent	1
src/components/memory/MemoryStream.tsx	Switch to grid view	1
src/components/memory/MemoryStream.tsx	Switch to list view	1
src/components/memory/MemoryStream.tsx	Undo	1
src/components/memory/NurtureCard.tsx	&#10003; confirmed	1
src/components/memory/NurtureCard.tsx	&middot;	1
src/components/memory/NurtureCard.tsx	Cancel	1
src/components/memory/NurtureCard.tsx	Delete	1
src/components/memory/NurtureCard.tsx	Describe what's wrong...	2
src/components/memory/NurtureCard.tsx	fixing...	1
src/components/memory/NurtureCard.tsx	Not quite&hellip;	1
src/components/memory/NurtureCard.tsx	Save &amp; Confirm	1
src/components/memory/NurtureCard.tsx	Show less	1
src/components/memory/NurtureCard.tsx	Show more	1
src/components/memory/NurtureCard.tsx	Yes, that&apos;s right	1
src/components/memory/page/CitationPopover.tsx	Open file →	1
src/components/memory/page/CitationPopover.tsx	Open in browser →	1
src/components/memory/page/CitationPopover.tsx	Open memory →	1
src/components/memory/page/CitationPopover.tsx	This source memory no longer exists — it was deleted or merged after distillation. Re-distill the page to refresh its citations.	1
src/components/memory/page/CitationPopover.tsx	unverified	1
src/components/memory/page/CitationPopover.tsx	Written by you in this page — kept unchanged when the page is re-distilled from its sources.	1
src/components/memory/page/PageInfo.tsx	Backlinks	1
src/components/memory/page/PageInfo.tsx	incoming	1
src/components/memory/page/PageInfo.tsx	memories	1
